group	Site	SampleType	Site+SampleType
TCn01	TRN	Control	TRN-Control
TCn02	TRN	Control	TRN-Control
TCn03	TRN	Control	TRN-Control
TCn04	TRN	Control	TRN-Control
TCn05	TRN	Control	TRN-Control
TCn06	TRN	Control	TRN-Control
TCn07	TRN	Control	TRN-Control
TCn08	TRN	Control	TRN-Control
TCn09	TRN	Control	TRN-Control
TCn10	TRN	Control	TRN-Control
TCf11	TRN	Coffee	TRN-Coffee
TCf12	TRN	Coffee	TRN-Coffee
TCf13	TRN	Coffee	TRN-Coffee
TCf14	TRN	Coffee	TRN-Coffee
TCf15	TRN	Coffee	TRN-Coffee
TCf16	TRN	Coffee	TRN-Coffee
TCf17	TRN	Coffee	TRN-Coffee
TCf18	TRN	Coffee	TRN-Coffee
TCf19	TRN	Coffee	TRN-Coffee
TCf20	TRN	Coffee	TRN-Coffee
TCf21	TRN	Coffee	TRN-Coffee
TCf22	TRN	Coffee	TRN-Coffee
TCf23	TRN	Coffee	TRN-Coffee
TCf24	TRN	Coffee	TRN-Coffee
TCf25	TRN	Coffee	TRN-Coffee
TCf26	TRN	Coffee	TRN-Coffee
TCf27	TRN	Coffee	TRN-Coffee
TCf28	TRN	Coffee	TRN-Coffee
TCf29	TRN	Coffee	TRN-Coffee
TCf30	TRN	Coffee	TRN-Coffee
OCn32	ORG	Control	ORG-Control
OCn33	ORG	Control	ORG-Control
OCf41	ORG	Coffee	ORG-Coffee
OCf42	ORG	Coffee	ORG-Coffee
OCf43	ORG	Coffee	ORG-Coffee
OCf44	ORG	Coffee	ORG-Coffee
OCf45	ORG	Coffee	ORG-Coffee
OCf46	ORG	Coffee	ORG-Coffee
OCf47	ORG	Coffee	ORG-Coffee
OCf48	ORG	Coffee	ORG-Coffee
OCf49	ORG	Coffee	ORG-Coffee
OCf50	ORG	Coffee	ORG-Coffee
OCf51	ORG	Coffee	ORG-Coffee
OCf52	ORG	Coffee	ORG-Coffee
OCf53	ORG	Coffee	ORG-Coffee
OCf54	ORG	Coffee	ORG-Coffee
OCf55	ORG	Coffee	ORG-Coffee
OCf56	ORG	Coffee	ORG-Coffee
OCf57	ORG	Coffee	ORG-Coffee
OCf58	ORG	Coffee	ORG-Coffee
OCf59	ORG	Coffee	ORG-Coffee
OCf60	ORG	Coffee	ORG-Coffee
ICn61	INT	Control	INT-Control
ICn62	INT	Control	INT-Control
ICn63	INT	Control	INT-Control
ICn64	INT	Control	INT-Control
ICn65	INT	Control	INT-Control
ICn66	INT	Control	INT-Control
ICn67	INT	Control	INT-Control
ICn68	INT	Control	INT-Control
ICn69	INT	Control	INT-Control
ICf71	INT	Coffee	INT-Coffee
ICf72	INT	Coffee	INT-Coffee
ICf73	INT	Coffee	INT-Coffee
ICf74	INT	Coffee	INT-Coffee
ICf75	INT	Coffee	INT-Coffee
ICf76	INT	Coffee	INT-Coffee
ICf77	INT	Coffee	INT-Coffee
ICf78	INT	Coffee	INT-Coffee
ICf79	INT	Coffee	INT-Coffee
ICf80	INT	Coffee	INT-Coffee
ICf81	INT	Coffee	INT-Coffee
ICf82	INT	Coffee	INT-Coffee
ICf83	INT	Coffee	INT-Coffee
ICf84	INT	Coffee	INT-Coffee
ICf85	INT	Coffee	INT-Coffee
ICf86	INT	Coffee	INT-Coffee
ICf87	INT	Coffee	INT-Coffee
ICf88	INT	Coffee	INT-Coffee
ICf89	INT	Coffee	INT-Coffee
ICf90	INT	Coffee	INT-Coffee
